Date,Open,High,Low,Close,Volume,Adj Close
1993-01-29,43.9687,43.9687,43.75,43.9375,1003200,28.000838
1993-02-01,43.9687,44.25,43.9687,44.25,480500,28.19999
1993-02-02,44.2187,44.375,44.125,44.3437,201300,28.259704
1993-02-03,44.4062,44.8437,44.375,44.8125,529400,28.558465
1993-02-04,44.9687,45.0937,44.4687,45.0,531500,28.677956
1993-02-05,44.9687,45.0625,44.7187,44.9687,492100,28.658009
1993-02-08,44.9687,45.125,44.9062,44.9687,596100,28.658009
1993-02-09,44.8125,44.8125,44.5625,44.6562,122100,28.458857
1993-02-10,44.6562,44.75,44.5312,44.7187,379600,28.498687
1993-02-11,44.7812,45.125,44.7812,44.9375,19500,28.638126
1993-02-12,44.875,44.875,44.5937,44.5937,42500,28.419026
1993-02-16,44.4687,44.4687,43.4062,43.4687,374800,27.702077
1993-02-17,43.4687,43.5312,43.2812,43.4375,210900,27.682194
1993-02-18,43.9375,43.9375,42.8125,43.4062,378100,27.662247
1993-02-19,43.4062,43.5625,43.3437,43.5625,34900,27.761855
1993-02-22,43.6875,43.7812,43.5625,43.7187,513600,27.861399
1993-02-23,43.8437,43.875,43.4687,43.6875,373700,27.841516
1993-02-24,43.7187,44.25,43.7187,44.25,26300,28.19999
1993-02-25,44.2187,44.375,44.125,44.3437,44500,28.259704
1993-02-26,44.4375,44.4375,44.1875,44.4062,66200,28.299535
1993-03-01,44.5625,44.5625,44.2187,44.2812,66500,28.219874
1993-03-02,44.3125,44.9375,44.25,44.9375,182400,28.638126
1993-03-03,45.0,45.1562,44.9375,45.125,280100,28.757617
1993-03-04,45.1875,45.1875,44.875,44.875,89500,28.598295
1993-03-05,44.9375,45.125,44.7187,44.75,40000,28.518634
1993-03-08,44.8437,45.75,44.8437,45.75,50800,29.155922
1993-03-09,45.6562,45.6875,45.5,45.5937,169300,29.056314
1993-03-10,45.5937,45.6875,45.4062,45.6875,194400,29.116092
1993-03-11,45.7187,45.8437,45.5,45.5625,70900,29.036431
1993-03-12,45.1875,45.2187,44.8125,45.0937,643600,28.73767
1993-03-15,45.0625,45.3125,45.0625,45.3125,310800,28.877109
1993-03-16,45.3125,45.4375,45.3125,45.3125,30800,28.877109
1993-03-17,45.25,45.25,44.9687,45.0312,21800,28.69784
1993-03-18,45.2187,45.5,45.2187,45.3125,59300,28.877109
1993-03-19,45.2812,45.2812,45.0312,45.0312,66900,28.833377
1993-03-22,44.5937,44.875,44.5625,44.7812,183400,28.673303
1993-03-23,44.9062,44.9375,44.8125,44.875,55200,28.733362
1993-03-24,44.8125,45.0625,44.5937,44.875,37200,28.733362
1993-03-25,44.9062,45.25,44.8437,45.1562,110100,28.913414
1993-03-26,45.125,45.1562,44.875,44.9062,101500,28.75334
1993-03-29,44.9375,45.3125,44.9375,45.0937,87100,28.873396
1993-03-30,45.1562,45.2187,45.0937,45.2187,56000,28.953433
1993-03-31,45.3437,45.4687,45.1875,45.1875,111600,28.933456
1993-04-01,45.25,45.25,44.9375,45.0312,129500,28.833377
1993-04-02,44.6562,44.6562,44.0937,44.0937,59400,28.233098
1993-04-05,44.4375,44.4375,44.1875,44.3125,172200,28.373195
1993-04-06,44.4062,44.4062,44.0625,44.1875,129700,28.293158
1993-04-07,44.25,44.3437,44.1562,44.3437,28000,28.393173
1993-04-08,44.5312,44.5312,44.0937,44.2812,180800,28.353154
1993-04-12,44.7187,44.9375,44.6562,44.9062,348500,28.75334
1993-04-13,44.875,45.1562,44.8437,45.0,146100,28.8134
1993-04-14,45.0312,45.0625,44.9062,44.9375,119600,28.773381
1993-04-15,44.9062,45.0312,44.75,44.9375,148600,28.773381
1993-04-16,44.9687,45.0312,44.875,44.9375,47900,28.773381
1993-04-19,44.9375,45.0625,44.7187,44.75,157000,28.653325
1993-04-20,44.6875,44.75,44.25,44.5312,279500,28.513228
1993-04-21,44.625,44.625,44.375,44.5,67900,28.493251
1993-04-22,44.3125,44.6875,43.9375,43.9375,97700,28.133083
1993-04-23,43.8437,43.9687,43.6875,43.75,106000,28.013027
1993-04-26,43.7812,43.9375,43.2812,43.4062,62600,27.792893
1993-04-27,43.3437,43.875,43.3437,43.875,156800,28.093065
1993-04-28,43.8125,43.9062,43.7187,43.7812,85900,28.033005
1993-04-29,43.875,43.9687,43.625,43.9687,85000,28.153061
1993-04-30,44.125,44.2812,44.0312,44.0312,88500,28.193079
1993-05-03,44.0937,44.3125,43.9062,44.3125,80500,28.373195
1993-05-04,44.4062,44.625,44.3437,44.4687,149100,28.47321
1993-05-05,44.4687,44.75,44.4687,44.5937,109000,28.553247
1993-05-06,44.5312,44.5625,44.4062,44.4375,54700,28.453232
1993-05-07,44.4687,44.4687,44.2812,44.3437,68000,28.393173
1993-05-10,44.4062,44.6875,44.4062,44.4375,113900,28.453232
1993-05-11,44.4375,44.625,44.3125,44.625,42600,28.573288
1993-05-12,44.4375,44.5937,44.4375,44.5625,31000,28.533269
1993-05-13,44.375,44.375,44.0,44.0312,129100,28.193079
1993-05-14,44.0312,44.1562,43.9687,44.0,63500,28.173102
1993-05-17,44.125,44.1562,43.9375,44.1562,34000,28.273117
1993-05-18,44.1875,44.2187,43.9687,44.125,105200,28.253139
1993-05-19,44.125,45.0312,43.8437,45.0312,50200,28.833377
1993-05-20,45.0312,45.1562,44.9375,45.1562,98200,28.913414
1993-05-21,45.1875,45.25,44.7187,44.75,221400,28.653325
1993-05-24,44.8437,45.0937,44.8437,44.9375,30500,28.773381
1993-05-25,45.125,45.125,45.0312,45.0312,191800,28.833377
1993-05-26,45.1562,45.625,45.125,45.5937,102400,29.193545
1993-05-27,45.6562,45.6562,45.375,45.4375,53800,29.09353
1993-05-28,45.4062,45.4062,45.0,45.2187,79100,28.953433
1993-06-01,45.375,45.8125,45.3125,45.6562,28300,29.233563
1993-06-02,45.5312,45.75,45.3437,45.5937,20300,29.193545
1993-06-03,45.5,45.5,45.3437,45.4375,21600,29.09353
1993-06-04,45.3125,45.3125,45.0937,45.2812,32000,28.993452
1993-06-07,45.375,45.375,45.125,45.125,121400,28.893437
1993-06-08,45.0,45.0,44.7187,44.7187,104500,28.633284
1993-06-09,44.875,45.0625,44.8125,44.875,43300,28.733362
1993-06-10,44.8437,44.9375,44.75,44.9062,17900,28.75334
1993-06-11,45.0625,45.1562,44.9062,45.0937,647400,28.873396
1993-06-14,45.1562,45.1875,45.0312,45.0312,64200,28.833377
1993-06-15,45.0937,45.125,44.9375,44.9375,142400,28.773381
1993-06-16,44.9375,45.0312,44.8125,45.0312,330900,28.833377
1993-06-17,45.125,45.1875,45.0312,45.1875,37400,28.933456
1993-06-18,44.8437,44.8437,44.5,44.5,58500,28.695189
1993-06-21,44.625,44.625,44.5312,44.5937,29300,28.75561
1993-06-22,44.6562,44.6562,44.5625,44.625,137500,28.775794
1993-06-23,44.625,44.625,44.2187,44.2187,227600,28.513797
1993-06-24,44.3437,44.8125,44.3437,44.8125,243700,28.8967
1993-06-25,44.7812,44.9062,44.75,44.7812,44800,28.876517
1993-06-28,45.0,45.2812,44.9375,45.2812,439900,29.198935
